yyyy-mm,departure_port,departure_lon,departure_lat,arrival_port,arrival_lon,arrival_lat,route,nonimal_fare_(AUD),real_fare_(AUD),normalized_nominal_fare,normalized_real_fare
2024-Jan,Gold Coast,-28.0167,153.4,Sydney,151.2093,-33.8688,Gold Coast - Sydney,152,152,0.07579787234042554,0.06198608475648324
2024-Jan,Hobart,-42.8821,147.3272,Melbourne,144.9631,-37.8136,Hobart - Melbourne,182,182,0.09574468085106383,0.08096141682479444
2024-Jan,Hobart,-42.8821,147.3272,Sydney,151.2093,-33.8688,Hobart - Sydney,241,241,0.13497340425531915,0.11827956989247312
2024-Jan,Melbourne,-37.8136,144.9631,Perth,115.8605,-31.9505,Melbourne - Perth,618,618,0.38563829787234044,0.3567362428842505
2024-Jan,Melbourne,-37.8136,144.9631,Sydney,151.2093,-33.8688,Melbourne - Sydney,186,186,0.09840425531914894,0.08349146110056926
2024-Jan,Perth,-31.9505,115.8605,Sydney,151.2093,-33.8688,Perth - Sydney,593,593,0.3690159574468085,0.34092346616065783
2024-Feb,Adelaide,-34.9285,138.6007,Alice Springs,133.8807,-23.698,Adelaide - Alice Springs,510,510,0.31382978723404253,0.2884250474383302
2024-Feb,Adelaide,-34.9285,138.6007,Brisbane,153.0251,-27.4698,Adelaide - Brisbane,323,323,0.18949468085106383,0.17014547754585704
2024-Feb,Adelaide,-34.9285,138.6007,Canberra,149.13,-35.2809,Adelaide - Canberra,526,526,0.324468085106383,0.29854522454142945
2024-Feb,Adelaide,-34.9285,138.6007,Darwin,130.8456,-12.4634,Adelaide - Darwin,1043,1043,0.668218085106383,0.6255534471853258
2024-Feb,Adelaide,-34.9285,138.6007,Melbourne,144.9631,-37.8136,Adelaide - Melbourne,130,130,0.061170212765957445,0.0480708412397217
2024-Feb,Adelaide,-34.9285,138.6007,Perth,115.8605,-31.9505,Adelaide - Perth,430,430,0.26063829787234044,0.23782416192283365
2024-Feb,Adelaide,-34.9285,138.6007,Sydney,151.2093,-33.8688,Adelaide - Sydney,268,268,0.1529255319148936,0.13535736875395318
2024-Feb,Brisbane,-27.4698,153.0251,Canberra,149.13,-35.2809,Brisbane - Canberra,248,248,0.13962765957446807,0.12270714737507907
2024-Feb,Brisbane,-27.4698,153.0251,Darwin,130.8456,-12.4634,Brisbane - Darwin,515,515,0.3171542553191489,0.2915876027830487
2024-Feb,Brisbane,-27.4698,153.0251,Hobart,147.3272,-42.8821,Brisbane - Hobart,334,334,0.19680851063829788,0.17710309930423782
2024-Feb,Brisbane,-27.4698,153.0251,Melbourne,144.9631,-37.8136,Brisbane - Melbourne,204,204,0.11037234042553191,0.09487666034155598
2024-Feb,Brisbane,-27.4698,153.0251,Perth,115.8605,-31.9505,Brisbane - Perth,585,585,0.3636968085106383,0.33586337760910817
2024-Feb,Brisbane,-27.4698,153.0251,Sydney,151.2093,-33.8688,Brisbane - Sydney,178,178,0.09308510638297872,0.0784313725490196
2024-Feb,Canberra,-35.2809,149.13,Melbourne,144.9631,-37.8136,Canberra - Melbourne,176,176,0.09175531914893617,0.07716635041113219
2024-Feb,Canberra,-35.2809,149.13,Sydney,151.2093,-33.8688,Canberra - Sydney,418,418,0.2526595744680851,0.23023402909550916
2024-Feb,Darwin,-12.4634,130.8456,Melbourne,144.9631,-37.8136,Darwin - Melbourne,766,766,0.48404255319148937,0.450347881087919
2024-Feb,Darwin,-12.4634,130.8456,Perth,115.8605,-31.9505,Darwin - Perth,1081,1081,0.6934840425531915,0.6495888678051865
2024-Feb,Darwin,-12.4634,130.8456,Sydney,151.2093,-33.8688,Darwin - Sydney,458,458,0.27925531914893614,0.25553447185325745
2024-Feb,Gold Coast,-28.0167,153.4,Sydney,151.2093,-33.8688,Gold Coast - Sydney,130,130,0.061170212765957445,0.0480708412397217
2024-Feb,Hobart,-42.8821,147.3272,Melbourne,144.9631,-37.8136,Hobart - Melbourne,186,186,0.09840425531914894,0.08349146110056926
2024-Feb,Hobart,-42.8821,147.3272,Sydney,151.2093,-33.8688,Hobart - Sydney,178,178,0.09308510638297872,0.0784313725490196
2024-Feb,Melbourne,-37.8136,144.9631,Perth,115.8605,-31.9505,Melbourne - Perth,553,553,0.34242021276595747,0.31562302340290954
2024-Feb,Melbourne,-37.8136,144.9631,Sydney,151.2093,-33.8688,Melbourne - Sydney,100,100,0.041223404255319146,0.0290955091714105
2024-Feb,Perth,-31.9505,115.8605,Sydney,151.2093,-33.8688,Perth - Sydney,774,774,0.48936170212765956,0.45540796963946867
2023-Sep,Adelaide,-34.9285,138.6007,Alice Springs,133.8807,-23.698,Adelaide - Alice Springs,607,611,0.3783244680851064,0.3523086654016445
2023-Sep,Adelaide,-34.9285,138.6007,Brisbane,153.0251,-27.4698,Adelaide - Brisbane,408,410,0.24601063829787234,0.2251739405439595
2023-Sep,Adelaide,-34.9285,138.6007,Canberra,149.13,-35.2809,Adelaide - Canberra,647,651,0.40492021276595747,0.3776091081593928
2023-Sep,Adelaide,-34.9285,138.6007,Darwin,130.8456,-12.4634,Adelaide - Darwin,302,304,0.17553191489361702,0.15812776723592664
2023-Sep,Adelaide,-34.9285,138.6007,Melbourne,144.9631,-37.8136,Adelaide - Melbourne,163,164,0.08311170212765957,0.06957621758380772
2023-Sep,Adelaide,-34.9285,138.6007,Perth,115.8605,-31.9505,Adelaide - Perth,508,511,0.3125,0.2890575585072739
2023-Sep,Adelaide,-34.9285,138.6007,Sydney,151.2093,-33.8688,Adelaide - Sydney,198,199,0.10638297872340426,0.09171410499683745
2023-Sep,Brisbane,-27.4698,153.0251,Canberra,149.13,-35.2809,Brisbane - Canberra,464,467,0.28324468085106386,0.2612270714737508
2023-Sep,Brisbane,-27.4698,153.0251,Darwin,130.8456,-12.4634,Brisbane - Darwin,574,577,0.35638297872340424,0.3308032890575585
2023-Sep,Brisbane,-27.4698,153.0251,Hobart,147.3272,-42.8821,Brisbane - Hobart,401,403,0.24135638297872342,0.22074636306135356
2023-Sep,Brisbane,-27.4698,153.0251,Melbourne,144.9631,-37.8136,Brisbane - Melbourne,248,250,0.13962765957446807,0.12397216951296648
2023-Sep,Brisbane,-27.4698,153.0251,Perth,115.8605,-31.9505,Brisbane - Perth,683,687,0.4288563829787234,0.40037950664136623
2023-Sep,Brisbane,-27.4698,153.0251,Sydney,151.2093,-33.8688,Brisbane - Sydney,168,169,0.08643617021276596,0.07273877292852625
2023-Sep,Canberra,-35.2809,149.13,Melbourne,144.9631,-37.8136,Canberra - Melbourne,228,229,0.12632978723404256,0.11068943706514864
2023-Sep,Canberra,-35.2809,149.13,Sydney,151.2093,-33.8688,Canberra - Sydney,451,454,0.2746010638297872,0.2530044275774826
